	<yagoTheme_infoboxTermsToBeRedirected_de>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Uralische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Paläosibirische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Afroasiatische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Turksprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Mongolische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Tungusische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Japanisch-Ryūkyū>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Koreanische_Sprache>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Dravidische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Sinotibetische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Austroasiatische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Hmong-Mien-Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Tai-Kadai-Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Austronesische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Burushaski>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Nahali>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Kusunda_(Sprache)>	
	<de/Asien>	<infobox/de/sprachfamilien>	"Indogermanische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Kaukasische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Uralische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Paläosibirische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Afroasiatische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Turksprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Mongolische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Tungusische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Japanische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Koreanisch"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Dravidische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Sinotibetische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Austroasiatische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Hmong-Mien-Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Tai-Kadai-Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Austronesische Sprachen"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Burushaski"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Nahali"	
	<de/Asien>	<infobox/de/sprachfamilien>	"Kusunda"	
	<de/Asien>	<infobox/de/zeitzoneost>	<de/Koordinierte_Weltzeit>	
	<de/Asien>	<infobox/de/zeitzoneost>	<de/Russland>	
	<de/Asien>	<infobox/de/zeitzoneost>	"12"^^xsd:integer	12
	<de/Asien>	<infobox/de/zeitzoneost>	"UTC+12"	
	<de/Asien>	<infobox/de/zeitzonewest>	<de/Koordinierte_Weltzeit>	
	<de/Asien>	<infobox/de/zeitzonewest>	<de/Türkei>	
	<de/Asien>	<infobox/de/zeitzonewest>	"2"^^xsd:integer	2
	<de/Asien>	<infobox/de/zeitzonewest>	"UTC+2"	
	<de/Apple>	<infobox/de/gründungsdatum>	"1976"^^xsd:integer	1976
	<de/Apple>	<infobox/de/gründungsdatum>	"1976"	
	<de/Apple>	<infobox/de/gründungsdatum>	"1976-##-##"^^xsd:date	1976.0000
	<de/Apple>	<infobox/de/homepage>	<http://www.apple.com/de>	
	<de/Apple>	<infobox/de/isin>	"378331005"^^xsd:integer	378331005
	<de/Apple>	<infobox/de/isin>	"US0378331005"	
	<de/Apple>	<infobox/de/leitung>	<de/Tim_Cook>	
	<de/Apple>	<infobox/de/leitung>	<de/Chief_Executive_Officer>	
	<de/Apple>	<infobox/de/leitung>	<de/Arthur_D._Levinson>	
	<de/Apple>	<infobox/de/leitung>	<de/Board_of_Directors>	
	<de/Apple>	<infobox/de/leitung>	"Tim Cook"	
	<de/Apple>	<infobox/de/leitung>	"Arthur D. Levinson"	
	<de/Apple>	<infobox/de/logo>	"150"^^<px>	150
	<de/Apple>	<infobox/de/logo>	"150px|Logo"	
	<de/Apple>	<infobox/de/mitarbeiterzahl>	"72.800"^^xsd:decimal	72.800
	<de/Apple>	<infobox/de/mitarbeiterzahl>	"800-##-##"^^xsd:date	800.0000
	<de/Apple>	<infobox/de/sitz>	<de/Kalifornien>	
	<de/Apple>	<infobox/de/sitz>	<de/Vereinigte_Staaten>	
	<de/Apple>	<infobox/de/sitz>	"Cupertino"	
	<de/Apple>	<infobox/de/sitz>	"CA"	
	<de/Apple>	<infobox/de/sitz>	"Vereinigte Staaten"	
	<de/Apple>	<infobox/de/umsatz>	<de/US-Dollar>	
	<de/Apple>	<infobox/de/umsatz>	"156.5"^^xsd:decimal	156.5
	<de/Apple>	<infobox/de/umsatz>	"USD"	
	<de/Apple>	<infobox/de/umsatz>	"156-##-##"^^xsd:date	156.0000
	<de/Apple>	<infobox/de/unternehmensform>	"Incorporated"	
	<de/Algerien>	<infobox/de/amtssprache>	<de/Arabische_Sprache>	
	<de/Algerien>	<infobox/de/amtssprache>	<de/Tamazight>	
	<de/Algerien>	<infobox/de/amtssprache>	"Arabisch"	
	<de/Algerien>	<infobox/de/amtssprache>	"Mazirisch"	
	<de/Algerien>	<infobox/de/artikelflagge>	<de/Flagge_Algeriens>	
	<de/Algerien>	<infobox/de/artikelflagge>	"Flagge Algeriens"	
	<de/Algerien>	<infobox/de/artikelwappen>	<de/Siegel_Algeriens>	
	<de/Algerien>	<infobox/de/artikelwappen>	"Siegel Algeriens"	
	<de/Algerien>	<infobox/de/bevdichte>	"13.8"^^xsd:decimal	13.8
	<de/Algerien>	<infobox/de/bildflaggerahmen>	"ja"	
	<de/Algerien>	<infobox/de/bildlageimagemap>	"1"^^xsd:integer	1
	<de/Algerien>	<infobox/de/bildlageimagemap>	"NordafrikaGlobus1"	
	<de/Algerien>	<infobox/de/bildwappenbreite>	"120"^^<px>	120
	<de/Algerien>	<infobox/de/bildwappenbreite>	"120px"	
	<de/Algerien>	<infobox/de/bip>	"2011"^^xsd:integer	2011
	<de/Algerien>	<infobox/de/bip>	"190.7"^^<dollar>	190.7
	<de/Algerien>	<infobox/de/bip>	"263.6"^^<dollar>	263.6
	<de/Algerien>	<infobox/de/bip>	"5.304"^^<dollar>	5.304
	<de/Algerien>	<infobox/de/bip>	"7.333"^^<dollar>	7.333
	<de/Algerien>	<infobox/de/bip>	"2011"	
	<de/Algerien>	<infobox/de/bip>	"2011-##-##"^^xsd:date	2011.0000
	<de/Algerien>	<infobox/de/bip>	"190-##-##"^^xsd:date	190.0000
	<de/Algerien>	<infobox/de/bip>	"263-##-##"^^xsd:date	263.0000
	<de/Algerien>	<infobox/de/bip>	"304-##-##"^^xsd:date	304.0000
	<de/Algerien>	<infobox/de/bip>	"333-##-##"^^xsd:date	333.0000
	<de/Algerien>	<infobox/de/biperweitert>	<de/Kaufkraftparität>	
	<de/Algerien>	<infobox/de/einwohner>	"32"^^xsd:integer	32
	<de/Algerien>	<infobox/de/fläche>	"2381741"^^xsd:integer	2381741
	<de/Algerien>	<infobox/de/fläche>	"381-##-##"^^xsd:date	381.0000
	<de/Algerien>	<infobox/de/fläche>	"741-##-##"^^xsd:date	741.0000
	<de/Algerien>	<infobox/de/hauptstadt>	<de/Algier>	
	<de/Algerien>	<infobox/de/hauptstadt>	"Algier"	
	<de/Algerien>	<infobox/de/hdi>	"698"^^xsd:integer	698
	<de/Algerien>	<infobox/de/hdi>	"698-##-##"^^xsd:date	698.0000
	<de/Algerien>	<infobox/de/internettld>	<de/.dz>	
	<de/Algerien>	<infobox/de/internettld>	".dz"	
	<de/Algerien>	<infobox/de/iso>	"3166"^^xsd:integer	3166
	<de/Algerien>	<infobox/de/iso>	"-2"^^xsd:integer	-2
	<de/Algerien>	<infobox/de/iso>	"12"^^xsd:integer	12
	<de/Algerien>	<infobox/de/iso>	"DZ"	
	<de/Algerien>	<infobox/de/kfzkennzeichen>	"DZ"	
	<de/Algerien>	<infobox/de/namedeutsch>	<de/Demokratische_Volksrepublik_Algerien>	
	<de/Algerien>	<infobox/de/namedeutsch>	"Demokratische Volksrepublik Algerien"	
	<de/Algerien>	<infobox/de/nationalhymne>	<de/Kassaman>	
	<de/Algerien>	<infobox/de/nationalhymne>	"Qassaman"	
	<de/Algerien>	<infobox/de/regierungschef>	<de/Liste_der_Premierminister_von_Algerien>	
	<de/Algerien>	<infobox/de/regierungschef>	<de/Abdelmalek_Sellal>	
	<de/Algerien>	<infobox/de/regierungschef>	"Premierminister"	
	<de/Algerien>	<infobox/de/regierungschef>	"Abdelmalek Sellal"	
	<de/Algerien>	<infobox/de/regierungssystem>	<de/Semipräsidentielles_Regierungssystem>	
	<de/Algerien>	<infobox/de/regierungssystem>	"Semipräsidentielles Regierungssystem"	
	<de/Algerien>	<infobox/de/staatsform>	<de/Republik>	
	<de/Algerien>	<infobox/de/staatsform>	"Republik"	
	<de/Algerien>	<infobox/de/staatsoberhaupt>	<de/Liste_der_Präsidenten_von_Algerien>	
	<de/Algerien>	<infobox/de/staatsoberhaupt>	<de/Abd_al-Aziz_Bouteflika>	
	<de/Algerien>	<infobox/de/staatsoberhaupt>	"Staatspräsident"	
	<de/Algerien>	<infobox/de/staatsoberhaupt>	"Abd al-Aziz Bouteflika"	
	<de/Algerien>	<infobox/de/telefonvorwahl>	"213"^^xsd:integer	213
	<de/Algerien>	<infobox/de/telefonvorwahl>	"213-##-##"^^xsd:date	213.0000
	<de/Algerien>	<infobox/de/unabhängigkeit>	<de/Frankreich>	
	<de/Algerien>	<infobox/de/unabhängigkeit>	"5"^^xsd:integer	5
	<de/Algerien>	<infobox/de/unabhängigkeit>	"1962"^^xsd:integer	1962
	<de/Algerien>	<infobox/de/unabhängigkeit>	"Frankreich"	
	<de/Algerien>	<infobox/de/unabhängigkeit>	"1962"	
	<de/Algerien>	<infobox/de/unabhängigkeit>	"1962-##-##"^^xsd:date	1962.0000
	<de/Algerien>	<infobox/de/wahlspruch>	<de/من_الشعب_و_للشعب>	
	<de/Algerien>	<infobox/de/wahlspruch>	"من الشعب و للشعب"	
	<de/Algerien>	<infobox/de/wappenopt>	"Siegel"	
	<de/Algerien>	<infobox/de/währung>	<de/Algerischer_Dinar>	
	<de/Algerien>	<infobox/de/währung>	"1"^^xsd:integer	1
	<de/Algerien>	<infobox/de/währung>	"100"^^xsd:integer	100
	<de/Algerien>	<infobox/de/währung>	"1"^^<euro>	1
	<de/Algerien>	<infobox/de/währung>	"2"^^xsd:integer	2
	<de/Algerien>	<infobox/de/währung>	"Algerischer Dinar"	
	<de/Algerien>	<infobox/de/währung>	"100-##-##"^^xsd:date	100.0000
	<de/Algerien>	<infobox/de/zeitzone>	<de/Koordinierte_Weltzeit>	
	<de/Algerien>	<infobox/de/zeitzone>	<de/UTC+1>	
	<de/Algerien>	<infobox/de/zeitzone>	"1"^^xsd:integer	1
	<de/Algerien>	<infobox/de/zeitzone>	"UTC"	
	<de/Algerien>	<infobox/de/zeitzone>	"+1"	
